pk,ispb,code,name
156,7693858,312,HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LT
157,16927221,313,AMAZÔNIA CORRETORA DE CÂMBIO LTDA.
158,3502968,315,PI Distribuidora de Títulos e Valores Mobiliários S.A.
159,61186680,318,Banco BMG S.A.
160,11495073,319,OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
161,7450604,320,China Construction Bank (Brasil) Banco Múltiplo S/A
162,18188384,321,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT
163,1073966,322,Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz
164,10573521,323,MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.
165,21332862,324,CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.
166,13293225,325,Órama Distribuidora de Títulos e Valores Mobiliários S.A.
167,3311443,326,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.                             "
168,5841967,328,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA
169,32402502,329,QI Sociedade de Crédito Direto S.A.
170,556603,330,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.
171,13673855,331,Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.
172,13140088,332,Acesso Soluções de Pagamento S.A.
173,27098060,335,Banco Digio S.A.
174,31872495,336,Banco C6 S.A.
175,9554480,340,Super Pagamentos e Administração de Meios Eletrônicos S.A.
176,60701190,341,ITAÚ UNIBANCO S.A.
177,32997490,342,Creditas Sociedade de Crédito Direto S.A.
178,24537861,343,FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
179,33264668,348,Banco XP S.A.
180,27214112,349,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO                                  "
181,1330387,350,COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE
182,29162769,352,TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
183,52904364,354,NECTON INVESTIMENTOS  S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES
184,34335592,355,ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.
185,9464032,358,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                             "
186,5351887,359,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A                                  "
187,2276653,360,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
188,1027058,362,CIELO S.A.
189,62285390,363,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
190,9089356,364,GERENCIANET S.A.
191,68757681,365,SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.
192,61533584,366,BANCO SOCIETE GENERALE BRASIL S.A.
193,34711571,367,VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
194,8357240,368,Banco CSF S.A.
195,61088183,370,Banco Mizuho do Brasil S.A.
196,92875780,371,WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.
197,35977097,373,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
198,27351731,374,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.                              "
199,33172537,376,BANCO J.P. MORGAN S.A.
200,17826860,377,BMS SOCIEDADE DE CRÉDITO DIRETO S.A.
201,1852137,378,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA
202,1658426,379,COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU
203,22896431,380,PICPAY INSTITUIçãO DE PAGAMENTO S.A.
204,60814191,381,BANCO MERCEDES-BENZ DO BRASIL S.A.
205,4307598,382,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L
206,21018182,383,EBANX INSTITUICAO DE PAGAMENTOS LTDA.
207,11165756,384,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO
208,3844699,385,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE V
209,30680829,386,"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento         "
210,3215790,387,Banco Toyota do Brasil S.A.
211,17184037,389,Banco Mercantil do Brasil S.A.
212,59274605,390,BANCO GM S.A.
213,8240446,391,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM
214,59109165,393,Banco Volkswagen S.A.
215,7207996,394,Banco Bradesco Financiamentos S.A.
216,8673569,395,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
217,13884775,396,HUB PAGAMENTOS S.A
218,34088029,397,LISTO SOCIEDADE DE CREDITO DIRETO S.A.
219,31749596,398,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
220,1701201,399,Kirton Bank S.A. - Banco Múltiplo
221,5491616,400,"COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS DO CENTRO OESTE - CREDIT"
222,15111975,401,IUGU INSTITUIÇÃO DE PAGAMENTO S.A.
223,36947229,402,COBUCCIO SOCIEDADE DE CRÉDITO DIRETO S.A.
224,37880206,403,CORA SOCIEDADE DE CRÉDITO DIRETO S.A.
225,37241230,404,SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.
226,37715993,406,ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.
227,329598,407,ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
228,36586946,408,BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.
229,5684234,410,PLANNER SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR S.A.
230,5192316,411,"Via Certa Financiadora S.A. - Crédito, Financiamento e Investimentos            "
231,15173776,412,SOCIAL BANK BANCO MÚLTIPLO S/A
232,1858774,413,BANCO BV S.A.
233,37526080,414,WORK SOCIEDADE DE CRÉDITO DIRETO S.A.
